actiune,nume_thread,time
Am afisat soferii,Thread-0,2020-06-04 04:14:49.44
Am afisat toate masinile,Thread-0,2020-06-04 04:15:00.597
Am afisat toate masinile,Thread-0,2020-06-04 04:15:22.946
Am afisat soferii,Thread-1,2020-06-04 04:15:31.525
Am afisat candidatii,Thread-0,2020-06-04 04:25:29.837
Am afisat candidatii,Thread-1,2020-06-04 04:25:34.633
Am afisat candidatii,Thread-2,2020-06-04 04:25:38.825
Am afisat toate masinile,Thread-3,2020-06-04 04:25:41.577
Am afisat candidatii,Thread-0,2020-06-04 04:26:38.407
Am afisat toate masinile,Thread-1,2020-06-04 04:26:41.507
Am afisat soferii,Thread-2,2020-06-04 04:26:46.562
Am afisat candidatii,Thread-3,2020-06-04 04:26:53.108
Am afisat candidatii,Thread-0,2020-06-04 04:27:27.688
